model,P(>V4),P(>V5),P(>V6),P(>V7),P(>V8),P(>V9)
deepset_ordinal,81.50920013427735,80.76960083007812,83.81039947509765,87.65599975585937,92.73200012207032,97.02119689941406
deepset_ordinal_xy,81.51760009765626,80.84000030517578,83.84839996337891,87.60359954833984,92.66760070800781,97.01919708251953
deepset_ordinal_xy_additive,81.30560028076172,80.58080017089844,83.79800079345704,87.44919952392578,92.68160003662109,97.01199737548828
ordinal_adaboost_ensemble_all,84.17960052490234,82.46760009765624,85.8963998413086,88.67879913330079,93.11479949951172,97.03519744873047
ordinal_adaboost_ensemble_deepset,81.64439971923828,80.93879974365234,83.95120025634766,87.72920013427735,92.75880065917968,97.0199966430664
ordinal_adaboost_ensemble_set_transformer,84.55479949951172,83.149599609375,86.42760070800782,89.03599975585938,93.19840026855469,96.98679962158204
ordinal_gbm_ensemble_all,83.85719940185547,82.6820001220703,85.64559967041015,88.34840026855468,92.66359954833985,96.56880035400391
ordinal_gbm_ensemble_deepset,81.58759948730469,80.64199981689453,83.62640014648437,87.33640045166015,92.46440063476562,96.59800048828124
ordinal_gbm_ensemble_set_transformer,83.99960052490235,82.84880035400391,85.75920013427735,88.41759918212891,92.76400024414062,96.51279998779297
ordinal_geometric_mean_ensemble_all,84.1388003540039,82.59039947509766,85.74639984130859,88.44039947509765,93.03279998779297,97.02399719238281
ordinal_geometric_mean_ensemble_deepset,81.65440002441406,80.9343994140625,83.96479949951171,87.71320007324219,92.74360137939453,97.0199966430664
ordinal_geometric_mean_ensemble_set_transformer,84.35200012207031,83.01679962158204,86.15239990234375,88.79879974365234,93.15720001220703,97.00079956054688
ordinal_lightgbm_ensemble_all,83.62399963378907,82.46320007324219,85.51119995117188,88.29280029296875,92.75760040283203,96.60840026855469
ordinal_lightgbm_ensemble_deepset,81.10879974365234,79.97719940185547,83.34479949951172,87.12279998779297,92.39640045166016,96.55640014648438
ordinal_lightgbm_ensemble_set_transformer,83.90519989013671,82.5720004272461,85.66200103759766,88.36760040283202,92.67680053710937,96.56679931640625
ordinal_median_ensemble_all,83.29639923095704,81.94400024414062,84.99279968261719,88.09600006103516,92.91440002441406,97.0199966430664
ordinal_median_ensemble_deepset,81.6463998413086,80.90960052490234,83.91519989013672,87.67280029296874,92.731201171875,97.01959686279297
ordinal_median_ensemble_set_transformer,84.34400024414063,82.93879943847656,86.13560028076172,88.87400024414063,93.0707992553711,96.94839935302734
ordinal_soft_voting_ensemble_all,84.17960052490234,82.46760009765624,85.8963998413086,88.67879913330079,93.11479949951172,97.03519744873047
ordinal_soft_voting_ensemble_deepset,81.64439971923828,80.93879974365234,83.95120025634766,87.72920013427735,92.75880065917968,97.0199966430664
ordinal_soft_voting_ensemble_set_transformer,84.55479949951172,83.149599609375,86.42760070800782,89.03599975585938,93.19840026855469,96.98679962158204
ordinal_stacking_ensemble_all,84.10560028076172,82.51159973144532,85.62679962158204,88.5611996459961,92.90840026855469,96.72920013427735
ordinal_stacking_ensemble_deepset,81.71919952392578,80.96400024414062,83.89760009765625,87.78959991455078,92.75080047607422,97.01839752197266
ordinal_stacking_ensemble_set_transformer,84.1563998413086,82.91720001220703,86.07399963378906,88.78080017089843,93.01039978027343,96.63799987792969
ordinal_trimmed_mean_ensemble_all,83.86920013427735,82.34960052490234,85.65280029296875,88.49999969482423,93.04679962158202,97.02919708251953
ordinal_trimmed_mean_ensemble_deepset,81.64439971923828,80.93879974365234,83.95120025634766,87.72920013427735,92.75880065917968,97.0199966430664
ordinal_trimmed_mean_ensemble_set_transformer,84.55479949951172,83.149599609375,86.42760070800782,89.03599975585938,93.19840026855469,96.98679962158204
ordinal_xgboost_ensemble_all,83.66199981689454,82.35440063476562,85.48999969482422,88.30119995117188,92.67280059814453,96.61880004882812
ordinal_xgboost_ensemble_deepset,80.78160034179687,79.839599609375,83.3911996459961,87.06240020751953,92.48999969482422,96.60680053710938
ordinal_xgboost_ensemble_set_transformer,83.63960021972656,82.5583999633789,85.61559997558594,88.25959991455078,92.72399993896484,96.55279968261719
set_transformer_ordinal,83.17240051269532,81.1259994506836,84.18440002441406,87.39360046386719,92.22120025634766,96.63200012207031
set_transformer_ordinal_xy,83.29599975585937,81.76879943847656,84.76679931640625,87.72720031738281,92.42919921875,96.62960021972657
set_transformer_ordinal_xy_additive,83.56600006103515,82.21399932861328,85.2852001953125,87.89680053710937,92.67720001220704,96.83919952392579
